stimulus_id,filename,sha256,bytes,channels,sample_width_bytes,sample_rate_hz,frames
657,id=657_genre=popular_c-id=423_e-id=30_ic_category_1.wav,e03bceb42d9cdc24e01d3b77dc8c1b8abe09b7f6474d29ab95f5bfd4af896c5c,1764124,2,2,44100,441020
658,id=658_genre=popular_c-id=644_e-id=88_ic_category_1.wav,20e8c793956fe4057958027b6d40f907949309dc73d25fd3259fdb9d910efc0d,1764124,2,2,44100,441020
659,id=659_genre=popular_c-id=406_e-id=63_ic_category_1.wav,b1aa3b1dac1d97edd387e84caf5ba2327abeaa7cd7e6d4e2d66134b0062b7cae,1764124,2,2,44100,441020
660,id=660_genre=popular_c-id=8_e-id=58_ic_category_1.wav,7cbf7a498d0a6ac45ec6185515c23545bdc59d29994e1616b1632b7886161475,1764124,2,2,44100,441020
661,id=661_genre=popular_c-id=620_e-id=40_ic_category_1.wav,f90a1bbe4dea3c9b3e9dd50b54afbd87e4d5523271d8075985454566b7c8674d,1764124,2,2,44100,441020
662,id=662_genre=popular_c-id=731_e-id=105_ic_category_1.wav,0af8ed91fe9c239f0ec873ab03d2874c27140322bce6e81fdb1941aa456dd40c,1764124,2,2,44100,441020
663,id=663_genre=popular_c-id=728_e-id=5_ic_category_1.wav,e9c3dfbd965c973cea5b8c5b7577191b2d2ee62a0f5d0e00eb558d5446a9829a,1764124,2,2,44100,441020
664,id=664_genre=popular_c-id=572_e-id=22_ic_category_1.wav,b8576cfabc2ac811ddd5172d99abd6f6ae7ac6f542d2b166e5a3c4c3f6708486,1764124,2,2,44100,441020
665,id=665_genre=popular_c-id=124_e-id=77_ic_category_1.wav,186a3774b01ce612dc0c5970baa79d72923a82d4fb8d6833f5cd713959904495,1764124,2,2,44100,441020
666,id=666_genre=popular_c-id=146_e-id=63_ic_category_1.wav,2605128ca95b8d06f1ec2f6575afae251aff16c5699aa912a2db7f8da25d4d67,1764124,2,2,44100,441020
667,id=667_genre=popular_c-id=127_e-id=116_ic_category_1.wav,65a4ee6666ebb7855f064cd036f8a978fe40fabda8d6302470e1f1f94aa4f32d,1764124,2,2,44100,441020
668,id=668_genre=popular_c-id=697_e-id=35_ic_category_1.wav,34921b2abd2f937418469e6b3cd2f659f93f536b6eb84f44e7c72b7acc247735,1764124,2,2,44100,441020
669,id=669_genre=popular_c-id=698_e-id=17_ic_category_1.wav,5869a56e6b4d8f4d57d35ebed479c77e7b72770f89c6b76eb0c19af33d90eeee,1764124,2,2,44100,441020
670,id=670_genre=popular_c-id=366_e-id=38_ic_category_1.wav,21428b0c619dad5d041287316270e3f3c8a0a24c37f96c7de2f66f25387225e1,1764124,2,2,44100,441020
671,id=671_genre=popular_c-id=28_e-id=51_ic_category_1.wav,111534637a052d175cab83c1d8a62b20e98e10406db9c93451f92b316ab03391,1764124,2,2,44100,441020
672,id=672_genre=popular_c-id=16_e-id=38_ic_category_1.wav,6cb40c43945f2cd15cf7f7662ae96782e6ccf6369a702aaa617e21a75901547b,1764124,2,2,44100,441020
